BehaviorSpace results (NetLogo 5.2.0);;;;;;;
ZT3_zboril_martin.nlogo;;;;;;;
Experiment-NotChangingStartPoint;;;;;;;
10/31/2015 11:31:20:893 +0100;;;;;;;
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor""";;;;;;;
"-250,""250"",""-150"",""150""";;;;;;;
[run number];RandomNumber;NumberOfLayers;Modulo;[step];amountA;amountR;amountL
1;215;1;35;680;237;641;680
4;215;1;35;1731;237;1619;323
3;215;1;35;2112;282;1979;584
2;215;1;35;2792;237;2611;893
6;215;1;35;707;237;668;695
5;215;1;35;2211;237;2063;419
9;215;1;35;1047;282;974;450
7;215;1;35;2345;237;2204;593
10;215;1;35;535;282;501;360
8;215;1;35;3946;282;3713;360
13;215;2;35;2204;432;2046;656
14;215;2;35;4838;432;4525;872
15;215;2;35;2666;432;2474;472
12;215;2;35;7459;432;6931;1978
18;215;2;35;3075;432;2873;486
16;215;2;35;6925;454;6459;820
19;215;2;35;2788;432;2602;1018
17;215;2;35;7705;432;7164;542
20;215;2;35;7303;432;6806;1186
21;215;3;35;5674;646;5282;1910
23;215;3;35;8585;784;8020;1618
22;215;3;35;7418;646;6924;1744
24;215;3;35;6429;784;5984;930
11;215;2;35;34545;432;32251;726
27;215;3;35;15541;784;14549;1702
28;215;3;35;10212;646;9513;1360
29;215;3;35;7343;646;6819;1574
25;215;3;35;28946;646;26998;1354
30;215;3;35;13700;718;12737;830
26;215;3;35;30575;646;28563;686
33;215;4;35;16405;987;15327;1065
34;215;4;35;20198;939;18822;1273
35;215;4;35;22224;1011;20730;1231
36;215;4;35;11508;987;10766;1133
37;215;4;35;31096;987;29001;1487
39;215;4;35;16159;987;15072;1285
31;215;4;35;115874;939;107944;1651
40;215;4;35;24074;1097;22440;3151
32;215;4;35;119425;939;111547;1085
42;215;5;35;23262;1563;21698;1769
41;215;5;35;31146;1541;29118;1839
38;215;4;35;101961;1097;95245;4103
44;215;5;35;52040;1465;48670;1971
47;215;5;35;13792;1541;12907;13792
45;215;5;35;65101;1541;60810;1667
48;215;5;35;81551;1465;76147;2441
43;215;5;35;183273;1541;171189;2355
49;215;5;35;88081;1465;82194;1659
50;215;5;35;64095;1541;59821;4675
52;215;6;35;80729;2191;75362;2857
46;215;5;35;176861;1541;164809;10015
53;215;6;35;87299;2301;81481;2769
51;215;6;35;151212;2191;141283;2529
54;215;6;35;76230;2191;71148;4155
56;215;6;35;50837;2409;47390;2635
58;215;6;35;82886;2191;77389;2503
55;215;6;35;146299;2263;136507;2443
60;215;6;35;22787;2191;21262;2269
61;215;7;35;66951;2375;62538;2529
62;215;7;35;179951;2321;168127;2575
59;215;6;35;309994;2429;289656;9191
57;215;6;35;393408;2281;367510;2693
65;215;7;35;56688;2375;52930;2477
64;215;7;35;203125;2375;189594;3449
63;215;7;35;236834;2375;221190;10499
67;215;7;35;86830;2375;81014;5331
66;215;7;35;102487;2375;95641;3079
69;215;7;35;88649;2375;82714;2411
70;215;7;35;133123;2375;124209;3159
68;215;7;35;194655;2375;181888;2675
72;215;8;35;111846;3113;104463;3359
73;215;8;35;124777;3063;116651;3613
74;215;8;35;229071;3041;214001;3333
76;215;8;35;184679;2965;172454;3097
71;215;8;35;440492;3063;411592;3141
75;215;8;35;310780;3063;290330;3415
78;215;8;35;256743;3041;239558;3119
77;215;8;35;297688;2987;278180;8457
80;215;8;35;132268;2965;123515;3015
79;215;8;35;383648;3151;358253;3217
