BehaviorSpace results (NetLogo 5.2.0);;;;;;;
ZT3_zboril_martin.nlogo;;;;;;;
experiment_same_value;;;;;;;
10/31/2015 22:40:30:352 +0100;;;;;;;
"min-pxcor,""max-pxcor"",""min-pycor"",""max-pycor""";;;;;;;
"-250,""250"",""-150"",""150""";;;;;;;
[run number];RandomNumber;Modulo;NumberOfLayers;[step];amountA;amountR;amountL
1;215;35;6;48836;2115;45652;2699
3;215;35;6;99940;2115;93322;2335
4;215;35;6;101953;2263;95194;2341
2;215;35;6;107978;2191;100794;2413
7;215;35;6;36008;2301;33577;2379
9;215;35;6;63491;2263;59235;2485
6;215;35;6;126476;2301;118111;2473
8;215;35;6;115593;2191;107850;3199
11;215;35;6;68344;2137;63857;2403
5;215;35;6;150136;2115;140169;3531
13;215;35;6;17867;2301;16680;2761
12;215;35;6;116496;2115;108753;3107
15;215;35;6;71370;2301;66630;3023
10;215;35;6;197934;2191;184743;2269
17;215;35;6;98417;2191;91964;2255
16;215;35;6;145055;2191;135572;2521
18;215;35;6;122925;2115;114818;2273
19;215;35;6;77702;2301;72713;2879
20;215;35;6;87030;2301;81251;4039
14;215;35;6;210754;2191;196759;5035
22;215;35;6;105668;2137;98644;2331
21;215;35;6;130640;2191;122003;2669
24;215;35;6;46936;2191;43820;2429
23;215;35;6;126566;2191;118226;2517
25;215;35;6;56726;2213;52885;2247
28;215;35;6;28099;2191;26311;3597
30;215;35;6;22883;2137;21345;5519
27;215;35;6;104919;2115;98005;2261
31;215;35;6;100740;2191;94028;2533
26;215;35;6;192999;2191;180197;2363
29;215;35;6;157620;2213;147143;2679
35;215;35;6;32699;2191;30576;2723
32;215;35;6;39823;2115;37131;2159
33;215;35;6;79921;2191;74677;2379
34;215;35;6;106255;2191;99337;2331
38;215;35;6;69450;2301;64988;2689
40;215;35;6;102031;2191;95274;2359
37;215;35;6;126933;2191;118589;2269
36;215;35;6;227350;2115;212172;2225
39;215;35;6;208049;2191;194165;2643
